Animal ID,Animal Name,Animal Type,Sex,Years Old,Months Old,Primary Breed,Primary Color,Tag Number,Intake Date,Intake Type,Intake Subtype,Outcome Type,Outcome Subtype,Outcome Date,Intake Month,Intake Day of the Week,Intake Year,Outcome Month,Outcome Day of the Week,Outcome Year
A038767,CHARLOTTE,Dog,Female,2,0,PIT BULL,TAN,,10/12/2016,Confiscated,Animal Cruelty,Euthanized,Behavior Manageable,10/25/2016,,,,,,
A038769,MIDNIGHT,Cat,Female,8,0,DOMESTIC LH,BLACK,,10/12/2016,Owner Surrendered,Over the Counter,Euthanized,Behavior Severe,10/13/2016,,,,,,
A038771,MCCOY,Cat,Neutered Male,0,2,DOMESTIC SH,CREAM,981020019482456,10/13/2016,Stray,Over the Counter,Adoption,Walk-In,10/24/2016,,,,,,
A038773,SELENA,Cat,Spayed Female,0,2,DOMESTIC SH,BLACK,981020017681839,10/13/2016,Stray,Over the Counter,Adoption,Walk-In,10/21/2016,,,,,,
A038778,BUDDY,Dog,Male,2,6,AM PIT BULL TER,BLUE,,10/13/2016,Stray,Over the Counter,Euthanized,Behavior Severe,10/24/2016,,,,,,
A038783,NAPOLI,Cat,Neutered Male,0,6,DOMESTIC SH,WHITE,981020019492677,10/13/2016,Stray,Over the Counter,Adoption,Walk-In,10/26/2016,,,,,,
A038788,CALLIE,Cat,Spayed Female,2,0,DOMESTIC SH,CALICO,3754,10/14/2016,Owner Surrendered,Over the Counter,Euthanized,Behavior Manageable,10/17/2016,,,,,,
A038793,JACK FROST,Cat,Neutered Male,1,3,DOMESTIC SH,WHITE,981020019487250,10/14/2016,Owner Surrendered,Over the Counter,Adoption,Walk-In,10/24/2016,,,,,,
A038796,CHUBBY,Dog,Neutered Male,5,0,PUG,TAN,,10/14/2016,Stray,Animal Control,Return to Owner,Tag Vaccine Info,10/14/2016,,,,,,
A038798,PICKLE,Cat,Spayed Female,1,0,DOMESTIC SH,WHITE,981020019582513,10/14/2016,Stray,Animal Control,Adoption,Walk-In,11/11/2016,,,,,,
A038800,,Cat,Female,1,0,DOMESTIC SH,TORBIE,,10/14/2016,Stray,Animal Control,Euthanized,Feral,10/16/2016,,,,,,
A038809,LUCI,Dog,Spayed Female,5,0,SIBERIAN HUSKY,GRAY,074108617,11/26/2016,Stray,Animal Control,Return to Owner,Walk-In,11/26/2016,,,,,,
A038809,LUCI,Dog,Spayed Female,5,0,SIBERIAN HUSKY,GRAY,074108617,10/15/2016,Stray,Over the Counter,Adoption,Walk-In,10/28/2016,,,,,,
A038810,,Cat,Female,12,0,DOMESTIC SH,BRN TABBY,,10/15/2016,Stray,Animal Control,Euthanized,Condition Severe,10/15/2016,,,,,,
A038812,,Cat,Spayed Female,3,0,DOMESTIC SH,TORTIE,,10/15/2016,Stray,Over the Counter,Euthanized,Vet Clinic,10/15/2016,,,,,,
A038817,PENNY,Cat,Spayed Female,13,0,DOMESTIC MH,GRAY TABBY,,10/16/2016,Euthanasia Request,Over the Counter,Euthanized,Age-Related,10/16/2016,,,,,,
A038819,,Cat,Unknown,0,0.25,DOMESTIC SH,GRAY TABBY,,10/16/2016,Stray,Animal Control,Euthanized,Underage or Underweight,10/16/2016,,,,,,
A038827,BOBO,Dog,Neutered Male,15,0,BEAGLE,TRICOLOR,01728,11/19/2016,Stray,Animal Control,Return to Owner,Walk-In,11/23/2016,,,,,,
A038827,BOBO,Dog,Neutered Male,15,0,BEAGLE,TRICOLOR,01728,10/17/2016,Stray,Animal Control,Return to Owner,Walk-In,10/24/2016,,,,,,
A038829,FROZEN,Dog,Spayed Female,2,0,MALTESE,WHITE,981020019487572,11/01/2016,Foster,Over the Counter,Adoption,,11/01/2016,,,,,,
A038829,FROZEN,Dog,Spayed Female,2,0,MALTESE,WHITE,981020019487572,10/17/2016,Owner Surrendered,Over the Counter,Foster,,10/24/2016,,,,,,
A038832,CYAN,Dog,Spayed Female,1,0,CATAHOULA,RED MERLE,981020017675357,10/17/2016,Owner Surrendered,Over the Counter,Adoption,Walk-In,10/30/2016,,,,,,
A038832,CYAN,Dog,Spayed Female,1,0,CATAHOULA,RED MERLE,981020017675357,11/11/2016,Owner Surrendered,Over the Counter,Adoption,Walk-In,11/13/2016,,,,,,
A038834,SMOKEY,Cat,Male,3,0,DOMESTIC MH,BRN TABBY,,10/17/2016,Owner Surrendered,Over the Counter,Euthanized,Behavior Severe,10/19/2016,,,,,,
A038836,,Cat,Unknown,0,1.25,DOMESTIC SH,GRAY TABBY,,10/17/2016,Stray,Over the Counter,Euthanized,Feral,10/19/2016,,,,,,
A038839,JOJO,Dog,Neutered Male,0,8,PIT BULL,BR BRINDLE,981020017875858,10/17/2016,Stray,Animal Control,Euthanized,Behavior Manageable,11/10/2016,,,,,,
A038846,TASER,Dog,Neutered Male,0,8,GERM SHEPHERD,BLACK,981020017864895,10/18/2016,Owner Surrendered,Over the Counter,Adoption,Walk-In,10/21/2016,,,,,,
A038848,MORTICIA,Cat,Spayed Female,2,0,DOMESTIC SH,BLACK,L17-010197,10/18/2016,Stray,Over the Counter,Adoption,Walk-In,12/15/2016,,,,,,
A038851,,Cat,Unknown,1,0,DOMESTIC SH,BLACK,,10/18/2016,Stray,Animal Control,Euthanized,Feral,10/20/2016,,,,,,
A038861,,Cat,Spayed Female,2,0,DOMESTIC SH,GRAY TABBY,,10/19/2016,Stray,Animal Control,Euthanized,Behavior Severe,10/30/2016,,,,,,
A038866,DESPEREAUX,Cat,Neutered Male,1,0,DOMESTIC SH,WHITE,L17-010114,10/19/2016,Stray,Over the Counter,Adoption,Walk-In,12/11/2016,,,,,,
A038867,PUMPKIN,Other,Spayed Female,1,0,RABBIT SH,BLACK,,12/15/2016,Foster,Over the Counter,Adoption,Walk-In,12/30/2016,,,,,,
A038867,PUMPKIN,Other,Spayed Female,1,0,RABBIT SH,BLACK,,10/19/2016,Owner Surrendered,Over the Counter,Foster,,12/15/2016,,,,,,
A038867,PUMPKIN,Other,Spayed Female,1,0,RABBIT SH,BLACK,,09/21/2017,Return,Over the Counter,Adoption,,11/01/2017,,,,,,
A038870,,Bird,Female,0,7,CHICKEN,WHITE,,10/19/2016,Owner Surrendered,Over the Counter,Adoption,Walk-In,10/22/2016,,,,,,
A038875,,Bird,Female,0,7,CHICKEN,BLACK,,10/19/2016,Owner Surrendered,Over the Counter,Adoption,Walk-In,10/22/2016,,,,,,
A038882,BANKSY,Cat,Spayed Female,3,0,DOMESTIC MH,TORTIE,,10/20/2016,Stray,Animal Control,Adoption,Walk-In,11/15/2016,,,,,,
A038885,GUCCI,Dog,Male,1,0,PIT BULL,WHITE,01720,10/20/2016,Stray,Animal Control,Return to Owner,Walk-In,10/24/2016,,,,,,
A038887,PEARL,Bird,Unknown,1,0,COCKATIEL,GRAY,,10/20/2016,Stray,Over the Counter,Adoption,Walk-In,10/30/2016,,,,,,
A038888,,Bird,Unknown,1,0,COCKATIEL,GRAY,,10/20/2016,Stray,Over the Counter,Adoption,Walk-In,10/26/2016,,,,,,
A038890,ZOEY,Dog,Female,1,0,BORDER COLLIE,GRAY,,10/20/2016,Owner Surrendered,Over the Counter,Euthanized,Behavior Manageable,10/25/2016,,,,,,
A038892,,Cat,Unknown,1,0,DOMESTIC SH,BRN TABBY,,10/21/2016,Stray,Over the Counter,Euthanized,Feral,10/23/2016,,,,,,
A038895,TOAST,Cat,Neutered Male,0,2,DOMESTIC SH,BLACK,981020017878730,10/21/2016,Stray,Over the Counter,Adoption,Walk-In,10/31/2016,,,,,,
A038897,,Cat,Unknown,2,0,DOMESTIC SH,BLACK,,10/21/2016,Stray,Animal Control,Euthanized,Feral,10/23/2016,,,,,,
A038899,,Other,Unknown,2,0,RACCOON,BLACK,,10/21/2016,Stray,Over the Counter,Euthanized,Wildlife,10/21/2016,,,,,,
A038902,MIDNIGHT,Cat,Neutered Male,0,1.5,DOMESTIC SH,BLACK,981020021031748,10/21/2016,Stray,Over the Counter,Adoption,Walk-In,11/11/2016,,,,,,
A038904,JACK,Cat,Neutered Male,0,2.8,DOMESTIC SH,BLACK,981020019545581,10/21/2016,Owner Surrendered,Over the Counter,Adoption,Walk-In,10/29/2016,,,,,,
A038909,,Other,Unknown,10,0,TURTLE,BROWN,,10/21/2016,Stray,Animal Control,Euthanized,Wildlife,10/21/2016,,,,,,
A038914,MIKA ROSE,Dog,Female,4,0,SIBERIAN HUSKY,WHITE,982000357764892,10/22/2016,Stray,Animal Control,Return to Owner,Microchip,10/22/2016,,,,,,
A038915,PUPPY,Dog,Spayed Female,1,0,SIBERIAN HUSKY,SABLE,01723,10/22/2016,Stray,Animal Control,Return to Owner,Walk-In,10/25/2016,,,,,,
A038925,BLUE,Dog,Neutered Male,7,0,PIT BULL,BLUE,,10/23/2016,Euthanasia Request,Over the Counter,Euthanized,Illness Severe,10/23/2016,,,,,,
A038927,,Dog,Male,2,0,PIT BULL,BLUE,,10/23/2016,Stray,Animal Control,Euthanized,Behavior Severe,11/03/2016,,,,,,
A038929,ROCKY,Dog,Male,8,0,SIBERIAN HUSKY,WHITE,01718,10/23/2016,Stray,Animal Control,Return to Owner,Walk-In,10/24/2016,,,,,,
A038933,,Dog,Male,1,6,PIT BULL,TAN,,10/23/2016,Stray,Animal Control,Euthanized,Behavior Severe,11/03/2016,,,,,,
A038935,DANIEL,Cat,Neutered Male,0,1.15,DOMESTIC MH,ORG TABBY,,10/23/2016,Stray,Over the Counter,Foster,Underage or Underweight,10/23/2016,,,,,,
A038935,DANIEL,Cat,Neutered Male,0,1.15,DOMESTIC MH,ORG TABBY,981020021000352,12/13/2016,Foster,Over the Counter,Adoption,,12/13/2016,,,,,,
A038935,DANIEL,Cat,Neutered Male,0,1.15,DOMESTIC MH,ORG TABBY,981020021000352,12/02/2016,Foster,Over the Counter,Foster,Condition Minor,12/05/2016,,,,,,
A038935,DANIEL,Cat,Neutered Male,0,1.15,DOMESTIC MH,ORG TABBY,981020021000352,05/23/2018,Owner Surrendered,Over the Counter,Euthanized,Behavior Severe,05/27/2018,,,,,,
A038941,MITTENS,Cat,Spayed Female,5,0,DOMESTIC SH,BLACK,L17-010291,10/24/2016,Stray,Animal Control,Adoption,Walk-In,12/23/2016,,,,,,
A038941,MITTENS,Cat,Spayed Female,5,0,DOMESTIC SH,BLACK,981020019568905,12/18/2017,Owner Surrendered,Over the Counter,Transfer,Private Animal Shelter,04/02/2018,,,,,,
A038944,,Cat,Unknown,0,2,DOMESTIC SH,ORG TABBY,,10/24/2016,Stray,Over the Counter,Euthanized,Feral,10/26/2016,,,,,,
A038946,,Cat,Unknown,0,2,DOMESTIC SH,GRAY TABBY,,10/24/2016,Stray,Over the Counter,Euthanized,Feral,10/26/2016,,,,,,
A038952,AUTUMN,Dog,Spayed Female,6,0,RAT TERRIER,BLACK,981020019549905,10/25/2016,Stray,Animal Control,Adoption,Walk-In,11/07/2016,,,,,,
A038954,,Dog,Female,1,0,PIT BULL,GRAY,900164001084802,10/25/2016,Stray,Over the Counter,Euthanized,Behavior Manageable,11/05/2016,,,,,,
A038961,SUKI,Cat,Spayed Female,0,1,DOMESTIC SH,BLACK,981020019553269,11/22/2016,Foster,Animal Control,Adoption,Walk-In,12/10/2016,,,,,,
A038961,SUKI,Cat,Spayed Female,0,1,DOMESTIC SH,BLACK,981020019577014,10/25/2016,Stray,Animal Control,Foster,,10/26/2016,,,,,,
A038967,,Cat,Male,0,0.5,DOMESTIC SH,WHITE,,10/25/2016,Stray,Animal Control,Euthanized,Underage or Underweight,10/26/2016,,,,,,
A038968,,Cat,Female,0,0.5,DOMESTIC SH,GRAY TABBY,,10/25/2016,Stray,Animal Control,Euthanized,Underage or Underweight,10/26/2016,,,,,,
A038974,,Cat,Male,2,0,DOMESTIC SH,BLACK,,10/26/2016,Stray,Over the Counter,Euthanized,Behavior Manageable,11/01/2016,,,,,,
A038983,MISSY,Dog,Female,10,0,SCHIPPERKE,BLACK,0908,10/26/2016,Stray,Animal Control,Return to Owner,Walk-In,10/30/2016,,,,,,
A038989,,Cat,Male,1,0,DOMESTIC SH,BLACK,,10/26/2016,Stray,Over the Counter,Euthanized,Feral,10/28/2016,,,,,,
A038995,NUGGET,Cat,Neutered Male,7,0,DOMESTIC SH,WHITE,,10/27/2016,Owner Surrendered,Over the Counter,Euthanized,Behavior Manageable,10/28/2016,,,,,,
A038998,TITO,Dog,Neutered Male,0,6,NORWICH TERRIER,BLACK,98102001955348,10/27/2016,Owner Surrendered,Over the Counter,Adoption,Walk-In,11/14/2016,,,,,,
A038998,TITO,Dog,Neutered Male,0,6,NORWICH TERRIER,BLACK,98102001955348,01/20/2017,Owner Surrendered,Over the Counter,Transfer,Private Animal Shelter,01/20/2017,,,,,,
A039003,GULLIVER,Dog,Male,15,0,DACHSHUND,BLACK,,10/27/2016,Euthanasia Request,Over the Counter,Euthanized,Age-Related,10/27/2016,,,,,,
A039005,MJ,Cat,Neutered Male,1,0,DOMESTIC SH,BLACK,98102001040603,10/27/2016,Stray,Over the Counter,Adoption,Walk-In,11/25/2016,,,,,,
A039014,NABISCO,Dog,Neutered Male,1,0,PIT BULL,TAN,981020019577906,10/27/2016,Stray,Animal Control,Adoption,Walk-In,11/25/2016,,,,,,
A039016,BELL,Cat,Male,2,0,DOMESTIC SH,BRN TABBY,,10/28/2016,Owner Surrendered,Over the Counter,Euthanized,Behavior Severe,10/29/2016,,,,,,
A039026,OUTKAST,Dog,Neutered Male,0,3.25,PIT BULL,BLUE,981020019556236,10/28/2016,Stray,Animal Control,Adoption,Walk-In,11/03/2016,,,,,,
A039028,ATHENA,Dog,Female,1,0,SIBERIAN HUSKY,BLACK,01775,10/28/2016,Stray,Animal Control,Return to Owner,Walk-In,10/31/2016,,,,,,
A039028,ATHENA,Dog,Female,1,0,SIBERIAN HUSKY,BLACK,L17-011766,07/02/2017,Stray,Over the Counter,Return to Owner,,07/02/2017,,,,,,
A039031,,Cat,Female,7,0,DOMESTIC SH,BLACK,,10/29/2016,Stray,Over the Counter,Euthanized,Behavior Severe,11/04/2016,,,,,,
A039036,KAT,Cat,Female,2,0,DOMESTIC SH,GRAY,,10/29/2016,Owner Surrendered,Over the Counter,Euthanized,Behavior Severe,10/29/2016,,,,,,
A039043,,Dog,Male,0,0.1,PIT BULL,TAN,,10/29/2016,Owner Surrendered,Over the Counter,Transfer,Private Animal Shelter,10/30/2016,,,,,,
A039045,,Dog,Male,0,0.1,PIT BULL,TAN,,10/29/2016,Owner Surrendered,Over the Counter,Transfer,Private Animal Shelter,10/30/2016,,,,,,
A039051,,Other,Unknown,1,0,OPOSSUM,GRAY,,10/30/2016,Stray,Over the Counter,Returned to Native Habitat,,10/30/2016,,,,,,
A039058,DEMARCO,Dog,Male,5,6,PIT BULL,BLUE,,10/30/2016,Stray,Over the Counter,Return to Owner,Walk-In,10/31/2016,,,,,,
A039063,CALI,Dog,Spayed Female,0,10,GERM SHEPHERD,SABLE,16-01602,10/30/2016,Stray,Over the Counter,Return to Owner,,11/02/2016,,,,,,
A039063,CALI,Dog,Spayed Female,0,10,GERM SHEPHERD,SABLE,L17-010784,02/01/2017,Stray,Animal Control,Return to Owner,Walk-In,02/01/2017,,,,,,
A039063,CALI,Dog,Spayed Female,0,10,GERM SHEPHERD,SABLE,L17-010784,02/08/2017,Stray,Animal Control,Return to Owner,Walk-In,02/08/2017,,,,,,
A039063,CALI,Dog,Spayed Female,0,10,GERM SHEPHERD,SABLE,L18-010196,12/19/2017,Owner Surrendered,Over the Counter,Adoption,Walk-In,12/22/2017,,,,,,
A039063,CALI,Dog,Spayed Female,0,10,GERM SHEPHERD,SABLE,L17-010784,12/16/2017,Stray,Animal Control,Return to Owner,Walk-In,12/19/2017,,,,,,
A039063,CALI,Dog,Spayed Female,0,10,GERM SHEPHERD,SABLE,L17-010784,02/06/2017,Stray,Animal Control,Return to Owner,Walk-In,02/07/2017,,,,,,
A039063,CALI,Dog,Spayed Female,0,10,GERM SHEPHERD,SABLE,L17-010784,05/16/2017,Stray,Animal Control,Return to Owner,Walk-In,05/17/2017,,,,,,
A039068,,Other,Female,1,0,OPOSSUM,WHITE,,10/31/2016,Stray,Animal Control,Euthanized,Wildlife,10/31/2016,,,,,,
A039071,,Other,Female,1,0,OPOSSUM,GRAY,,10/31/2016,Stray,Over the Counter,Euthanized,Wildlife,10/31/2016,,,,,,
A039076,BUNNY,Dog,Spayed Female,6,0,GOLDEN RETR,GOLD,,10/31/2016,Stray,Animal Control,Return to Owner,Walk-In,11/02/2016,,,,,,
A039078,MERLE,Cat,Neutered Male,0,1,DOMESTIC SH,BRN TABBY,981020019553163,11/01/2016,Stray,Over the Counter,Adoption,Walk-In,12/03/2016,,,,,,
A039080,,Cat,Spayed Female,0,1,DOMESTIC SH,TORBIE,981020019557713,11/01/2016,Stray,Over the Counter,Adoption,Walk-In,12/01/2016,,,,,,
A039082,,Cat,Female,3,6,DOMESTIC SH,TORTIE,,11/01/2016,Stray,Over the Counter,Euthanized,Behavior Severe,11/07/2016,,,,,,
A039094,,Cat,Unknown,0,0.09,DOMESTIC SH,BRN TABBY,,11/01/2016,Stray,Animal Control,Euthanized,Underage or Underweight,11/01/2016,,,,,,
A039096,HARDY,Cat,Neutered Male,1,0,SIAMESE,WHITE,,11/02/2016,Stray,Over the Counter,Adoption,Walk-In,11/20/2016,,,,,,
A039102,,Cat,Female,1,0,DOMESTIC SH,BLACK,,11/02/2016,Stray,Over the Counter,Euthanized,Feral,11/04/2016,,,,,,
A039104,,Cat,Female,1,0,DOMESTIC SH,TORTIE,,11/02/2016,Stray,Over the Counter,Euthanized,Feral,11/04/2016,,,,,,
A039109,JAKE,Dog,Neutered Male,0,5,PIT BULL,BROWN,981020019569515,11/02/2016,Stray,Over the Counter,Return to Owner,Walk-In,11/04/2016,,,,,,
A039112,DOBBY,Dog,Neutered Male,6,0,DACHSHUND,BROWN,,11/02/2016,Stray,Over the Counter,Adoption,Walk-In,11/14/2016,,,,,,
A039114,,Other,Male,1,0,OPOSSUM,WHITE,,11/02/2016,Stray,Animal Control,Euthanized,Wildlife,11/02/2016,,,,,,
A039120,HERBIE,Cat,Neutered Male,0,2,DOMESTIC SH,BLACK,981020021003119,11/03/2016,Stray,Over the Counter,Adoption,Walk-In,11/14/2016,,,,,,
A039122,TEE,Dog,Male,4,0,GERM SHEPHERD,BLACK,,11/03/2016,Owner Surrendered,Over the Counter,Transfer,Rescue Group,11/17/2016,,,,,,
A039127,FONZO,Cat,Neutered Male,0,2,DOMESTIC SH,BLACK,981020019585696,11/03/2016,Stray,Animal Control,Adoption,Walk-In,11/22/2016,,,,,,
A039129,,Other,Male,1,0,RACCOON,BLACK,,11/04/2016,Stray,Over the Counter,Euthanized,Wildlife,11/04/2016,,,,,,
A039135,,Cat,Spayed Female,2,0,SIAMESE,LYNX PT,,11/04/2016,Stray,Over the Counter,Adoption,Walk-In,11/10/2016,,,,,,
A039137,NOVA,Dog,Female,3,0,PIT BULL,WHITE,,11/04/2016,Owner Surrendered,Over the Counter,Euthanized,Behavior Manageable,11/16/2016,,,,,,
A039141,,Cat,Unknown,1,0,DOMESTIC SH,BLACK,,11/04/2016,Stray,Over the Counter,Euthanized,Feral,11/06/2016,,,,,,
A039147,MOCHI,Other,Male,0,8,HAMSTER,TAN,,11/04/2016,Disposal Request of Deceased Pet,Animal Control,Disposal of Deceased Pet,,11/04/2016,,,,,,
A039150,,Dog,Male,0,4,RAT TERRIER,TRICOLOR,05257,11/05/2016,Stray,Over the Counter,Return to Owner,Walk-In,11/08/2016,,,,,,
A039156,SNICKERDOODL,Dog,Spayed Female,0,9,NS DUCK TOLLING,BROWN,981020019579868,11/05/2016,Owner Surrendered,Over the Counter,Adoption,,11/21/2016,,,,,,
A039159,ROSCOE,Dog,Male,1,0,SCHNAUZER MIN,GRAY,01638,11/05/2016,Stray,Animal Control,Return to Owner,Walk-In,11/08/2016,,,,,,
A039162,OLIE,Bird,Male,0,6,PARAKEET,BLUE,,11/05/2016,Stray,Over the Counter,Adoption,Website Information,11/14/2016,,,,,,
A039163,MUGSEY MALON,Dog,Neutered Male,2,6,AUST SHEPHERD,BLACK,981020015471040,11/05/2016,Owner Surrendered,Over the Counter,Adoption,Walk-In,11/07/2016,,,,,,
A039165,RILEY,Dog,Neutered Male,4,0,GERM SHEPHERD,BLACK,,11/05/2016,Euthanasia Request,Over the Counter,Euthanized,Aggressive,11/05/2016,,,,,,
A039172,ARYA,Dog,Female,0,7,NORW ELKHOUND,BLACK,981020017492921,11/05/2016,Stray,Over the Counter,Return to Owner,Walk-In,11/07/2016,,,,,,
A039177,JAMESON,Dog,Neutered Male,3,0,ITAL GREYHOUND,BROWN,98102009252678,11/05/2016,Confiscated,Owner Hospitalized,Return to Owner,Microchip,11/06/2016,,,,,,
A039183,,Other,Male,2,0,OPOSSUM,GRAY,,11/06/2016,Stray,Animal Control,Euthanized,Wildlife,11/06/2016,,,,,,
A039185,,Cat,Spayed Female,2,0,SIAMESE,SEAL PT,981020011910679,11/06/2016,Stray,Over the Counter,Euthanized,Behavior Manageable,11/17/2016,,,,,,
A039191,,Dog,Neutered Male,2,0,LABRADOR RETR,TAN,,11/07/2016,Stray,Over the Counter,Euthanized,Behavior Severe,11/18/2016,,,,,,
A039193,,Other,Female,2,0,RACCOON,BROWN,,11/07/2016,Stray,Over the Counter,Euthanized,Wildlife,11/07/2016,,,,,,
A039203,,Other,Unknown,1,0,RACCOON,BLACK,,11/08/2016,Stray,Animal Control,Euthanized,Wildlife,11/08/2016,,,,,,
A039205,OLIVER,Cat,Neutered Male,0,0,DOMESTIC SH,BLK TABBY,981020021062005,12/17/2016,Foster,Over the Counter,Adoption,Referral,12/23/2016,,,,,,
A039205,OLIVER,Cat,Neutered Male,0,0,DOMESTIC SH,BLK TABBY,,11/08/2016,Stray,Over the Counter,Foster,Underage or Underweight,11/09/2016,,,,,,
A039209,LIAM,Cat,Male,0,2,DOMESTIC SH,GRAY TABBY,,11/14/2016,Foster,Over the Counter,Euthanized,Illness Severe,11/14/2016,,,,,,
A039209,LIAM,Cat,Male,0,2,DOMESTIC SH,GRAY TABBY,,11/08/2016,Stray,Over the Counter,Foster,Underage or Underweight,11/09/2016,,,,,,
A039213,ROSIE,Dog,Spayed Female,0,1.9,DACHSHUND,RED,981020019554199,11/08/2016,Stray,Over the Counter,Adoption,Walk-In,11/15/2016,,,,,,
A039215,KASH,Dog,Neutered Male,0,11,BOXER,WHITE,L17-010013,11/08/2016,Stray,Over the Counter,Adoption,Walk-In,12/04/2016,,,,,,
A039222,,Other,Unknown,1,0,RACCOON,BLACK,,11/09/2016,Stray,Animal Control,Euthanized,Wildlife,11/09/2016,,,,,,
A039224,,Bird,Unknown,1,0,PIGEON,GRAY,,11/09/2016,Stray,Animal Control,Euthanized,Wildlife,11/09/2016,,,,,,
A039232,DAKOTA,Dog,Neutered Male,6,0,YORKSHIRE TERR,BROWN,0A140C5A29,11/09/2016,Stray,Animal Control,Return to Owner,,11/19/2016,,,,,,
A039232,DAKOTA,Dog,Neutered Male,6,0,YORKSHIRE TERR,BROWN,L16-009726,07/23/2016,Stray,Over the Counter,Return to Owner,Microchip,07/25/2016,,,,,,
A039232,DAKOTA,Dog,Neutered Male,6,0,YORKSHIRE TERR,BROWN,L17-011464,04/27/2017,Stray,Animal Control,Adoption,Walk-In,05/08/2017,,,,,,
A039232,DAKOTA,Dog,Neutered Male,6,0,YORKSHIRE TERR,BROWN,L17-011098,03/04/2017,Stray,Animal Control,Return to Owner,Walk-In,03/09/2017,,,,,,
A039234,ANGEL,Dog,Spayed Female,13,0,POINTER,LIVER,0458,11/09/2016,Stray,Animal Control,Return to Owner,Walk-In,11/10/2016,,,,,,
A039245,NOEL,Cat,Spayed Female,1,0,DOMESTIC SH,TORTIE,L17-010164,11/10/2016,Stray,Animal Control,Adoption,Walk-In,12/13/2016,,,,,,
A039247,CALIE,Cat,Spayed Female,1,0,DOMESTIC SH,TORTIE,4325,11/10/2016,Owner Surrendered,Over the Counter,Euthanized,Time and Space,11/11/2016,,,,,,
A039251,BENTLEY,Dog,Male,4,0,BEAGLE,TRICOLOR,01655,11/10/2016,Stray,Animal Control,Return to Owner,Walk-In,11/11/2016,,,,,,
A039257,GIGI,Cat,Spayed Female,0,0,DOMESTIC SH,TORTIE,,11/10/2016,Stray,Animal Control,Foster,Underage or Underweight,11/11/2016,,,,,,
A039257,GIGI,Cat,Spayed Female,0,0,DOMESTIC SH,TORTIE,,12/19/2016,Foster,Over the Counter,Adoption,Walk-In,12/19/2016,,,,,,
A039265,,Cat,Female,0,0.7,DOMESTIC SH,CALICO,,11/11/2016,Stray,Over the Counter,Euthanized,Underage or Underweight,11/11/2016,,,,,,
A039268,,Dog,Unknown,0,2,PIT BULL,BROWN,,11/11/2016,Owner Surrendered,Over the Counter,Euthanized,Underage or Underweight,11/11/2016,,,,,,
A039275,CARE BEAR,Cat,Male,1,0,DOMESTIC SH,BLACK,,11/11/2016,Owner Surrendered,Over the Counter,Euthanized,Behavior Manageable,11/13/2016,,,,,,
A039278,MOON,Cat,Spayed Female,0,3,DOMESTIC SH,BRN TABBY,981020019554924,11/12/2016,Owner Surrendered,Over the Counter,Adoption,Walk-In,12/07/2016,,,,,,
A039280,MATTY,Cat,Neutered Male,0,3.5,DOMESTIC SH,BLACK,981020019550270,11/12/2016,Stray,Over the Counter,Adoption,Walk-In,11/21/2016,,,,,,
A039280,MATTY,Cat,Neutered Male,0,3.5,DOMESTIC SH,BLACK,L17-010949,02/14/2017,Owner Surrendered,Over the Counter,Adoption,Walk-In,02/17/2017,,,,,,
A039282,KANE,Dog,Neutered Male,0,7,PIT BULL,TAN,,11/12/2016,Confiscated,Animal Cruelty,Return to Owner,Walk-In,11/15/2016,,,,,,
A039282,KANE,Dog,Neutered Male,0,7,PIT BULL,TAN,981020019576913,11/15/2016,Owner Surrendered,Over the Counter,Adoption,Walk-In,12/02/2016,,,,,,
A039287,BUSTER,Dog,Neutered Male,0,3,AMER BULLDOG,BR BRINDLE,981020019561590,11/13/2016,Stray,Over the Counter,Adoption,Walk-In,11/21/2016,,,,,,
A039289,SALEM,Cat,Neutered Male,1,6,DOMESTIC SH,BLACK,981020019571885,11/13/2016,Stray,Over the Counter,Adoption,Walk-In,11/25/2016,,,,,,
A039292,CLEO,Cat,Spayed Female,10,0,DOMESTIC SH,BLACK,,11/14/2016,Owner Surrendered,Over the Counter,Euthanized,Condition Severe,11/14/2016,,,,,,
A039294,BUDDY,Dog,Neutered Male,14,0,BORDER COLLIE,TRICOLOR,,11/14/2016,Euthanasia Request,Over the Counter,Euthanized,Age-Related,11/14/2016,,,,,,
A039297,BELLA,Cat,Spayed Female,0,6,RUSSIAN BLUE,BLUE,981020019575110,11/14/2016,Owner Surrendered,Over the Counter,Adoption,Walk-In,11/20/2016,,,,,,
A036526,,Cat,Neutered Male,0,1.5,DOMESTIC SH,BLACK,981020017903404,06/15/2016,Owner Surrendered,Over the Counter,Euthanized,Behavior Manageable,06/25/2016,,,,,,
A036527,,Cat,Neutered Male,0,1.5,DOMESTIC SH,BLACK,981020017691354,06/15/2016,Owner Surrendered,Over the Counter,Adoption,Walk-In,06/16/2016,,,,,,
A036528,REX,Cat,Neutered Male,0,1.5,DOMESTIC SH,BLACK,981020017871772,06/15/2016,Owner Surrendered,Over the Counter,Euthanized,Behavior Manageable,06/25/2016,,,,,,
A036530,,Cat,Spayed Female,2,0,DOMESTIC SH,BLACK,,06/15/2016,Stray,Over the Counter,Foster,,06/22/2016,,,,,,
A036530,,Cat,Spayed Female,2,0,DOMESTIC SH,BLACK,981020017697087,07/02/2016,Foster,Over the Counter,Adoption,,07/02/2016,,,,,,
